x-axis,SCL1,3
second,Volt,Volt
+2.0160000E-03,+391.9598162E-03,+190.9547932E-03
+2.0162500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0165000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0167500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0170000E-03,+391.9598162E-03,+4.5527637918E+00
+2.0172500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0175000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0177500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0180000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0182500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0185000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0187500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0190000E-03,+361.8090628E-03,+4.5427135407E+00
+2.0192500E-03,+391.9598162E-03,+4.5728642940E+00
+2.0195000E-03,+391.9598162E-03,+4.5628140430E+00
+2.0197500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0200000E-03,+391.9598162E-03,+4.5427135407E+00
+2.0202500E-03,+391.9598162E-03,+4.5728642940E+00
+2.0205000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0207500E-03,+391.9598162E-03,+4.5527637918E+00
+2.0210000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0212500E-03,+391.9598162E-03,+190.9547932E-03
+2.0215000E-03,+391.9598162E-03,+221.1055467E-03
+2.0217500E-03,+391.9598162E-03,+190.9547932E-03
+2.0220000E-03,+391.9598162E-03,+190.9547932E-03
+2.0222500E-03,+391.9598162E-03,+231.1557978E-03
+2.0225000E-03,+391.9598162E-03,+221.1055468E-03
+2.0227500E-03,+391.9598162E-03,+190.9547932E-03
+2.0230000E-03,+391.9598162E-03,+190.9547932E-03
+2.0232500E-03,+391.9598162E-03,+190.9547932E-03
+2.0235000E-03,+391.9598162E-03,+190.9547932E-03
+2.0237500E-03,+391.9598162E-03,+190.9547932E-03
+2.0240000E-03,+391.9598162E-03,+190.9547932E-03
+2.0242500E-03,+391.9598162E-03,+231.1557978E-03
+2.0245000E-03,+391.9598162E-03,+190.9547932E-03
+2.0247500E-03,+391.9598162E-03,+190.9547932E-03
+2.0250000E-03,+391.9598162E-03,+190.9547932E-03
+2.0252500E-03,+391.9598162E-03,+190.9547932E-03
+2.0255000E-03,+391.9598162E-03,+190.9547932E-03
+2.0257500E-03,+371.8593138E-03,+211.0552955E-03
+2.0260000E-03,+391.9598162E-03,+190.9547932E-03
+2.0262500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0265000E-03,+361.8090627E-03,+4.5728642941E+00
+2.0267500E-03,+371.8593138E-03,+4.5527637917E+00
+2.0270000E-03,+391.9598162E-03,+4.5427135407E+00
+2.0272500E-03,+391.9598162E-03,+4.5728642940E+00
+2.0275000E-03,+391.9598162E-03,+4.5628140430E+00
+2.0277500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0280000E-03,+391.9598162E-03,+4.5628140428E+00
+2.0282500E-03,+391.9598162E-03,+4.5728642940E+00
+2.0285000E-03,+391.9598162E-03,+4.5427135405E+00
+2.0287500E-03,+391.9598162E-03,+4.5527637917E+00
+2.0290000E-03,+391.9598162E-03,+4.5628140428E+00
+2.0292500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0295000E-03,+381.9095652E-03,+4.5728642941E+00
+2.0297500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0300000E-03,+422.1105696E-03,+4.5728642941E+00
+2.0302500E-03,+391.9598162E-03,+4.5326632895E+00
+2.0305000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0307500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0310000E-03,+361.8090629E-03,+4.5728642941E+00
+2.0312500E-03,+391.9598162E-03,+190.9547932E-03
+2.0315000E-03,+381.9095652E-03,+201.0050443E-03
+2.0317500E-03,+391.9598162E-03,+231.1557978E-03
+2.0320000E-03,+391.9598162E-03,+190.9547932E-03
+2.0322500E-03,+351.7588117E-03,+190.9547932E-03
+2.0325000E-03,+391.9598162E-03,+190.9547932E-03
+2.0327500E-03,+391.9598162E-03,+190.9547932E-03
+2.0330000E-03,+391.9598162E-03,+190.9547932E-03
+2.0332500E-03,+391.9598162E-03,+190.9547932E-03
+2.0335000E-03,+391.9598162E-03,+190.9547932E-03
+2.0337500E-03,+391.9598162E-03,+211.0552956E-03
+2.0340000E-03,+391.9598162E-03,+221.1055466E-03
+2.0342500E-03,+391.9598162E-03,+231.1557978E-03
+2.0345000E-03,+391.9598162E-03,+190.9547932E-03
+2.0347500E-03,+391.9598162E-03,+211.0552956E-03
+2.0350000E-03,+391.9598162E-03,+190.9547932E-03
+2.0352500E-03,+391.9598162E-03,+231.1557977E-03
+2.0355000E-03,+391.9598162E-03,+221.1055468E-03
+2.0357500E-03,+391.9598162E-03,+170.8542911E-03
+2.0360000E-03,+391.9598162E-03,+190.9547932E-03
+2.0362500E-03,+391.9598162E-03,+4.5728642942E+00
+2.0365000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0367500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0370000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0372500E-03,+391.9598162E-03,+4.5728642939E+00
+2.0375000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0377500E-03,+391.9598162E-03,+4.5527637916E+00
+2.0380000E-03,+391.9598162E-03,+4.5628140428E+00
+2.0382500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0385000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0387500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0390000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0392500E-03,+391.9598162E-03,+4.5326632896E+00
+2.0395000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0397500E-03,+412.0603184E-03,+4.5326632895E+00
+2.0400000E-03,+381.9095649E-03,+4.5326632895E+00
+2.0402500E-03,+391.9598161E-03,+4.5728642941E+00
+2.0405000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0407500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0410000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0412500E-03,+351.7588118E-03,+190.9547932E-03
+2.0415000E-03,+361.8090626E-03,+201.0050443E-03
+2.0417500E-03,+391.9598162E-03,+211.0552954E-03
+2.0420000E-03,+391.9598162E-03,+190.9547932E-03
+2.0422500E-03,+391.9598162E-03,+190.9547932E-03
+2.0425000E-03,+391.9598162E-03,+190.9547932E-03
+2.0427500E-03,+391.9598162E-03,+190.9547932E-03
+2.0430000E-03,+381.9095649E-03,+201.0050445E-03
