x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+5.7700000E-06,+4.6507537404546E+00,+4.8517587634274E+00,+5.2914572511809E+00,+4.2864321363168E+00
+5.7704000E-06,+4.6909547450491E+00,+4.8919597680220E+00,+5.2964823767543E+00,+4.3291457036981E+00
+5.7708000E-06,+4.7311557496437E+00,+4.9321607726165E+00,+5.2964823767543E+00,+4.3693467082926E+00
+5.7712000E-06,+4.7713567542383E+00,+4.9723617772111E+00,+5.2211054931385E+00,+4.3718592710793E+00
+5.7716000E-06,+4.7738693170250E+00,+5.0502512236136E+00,+5.1783919257573E+00,+4.4095477128872E+00
+5.7720000E-06,+4.7361808752171E+00,+5.0929647909948E+00,+5.1381909211627E+00,+4.4120602756739E+00
+5.7724000E-06,+4.6959798706225E+00,+5.1331657955894E+00,+5.0979899165681E+00,+4.4497487174818E+00
+5.7728000E-06,+4.6557788660279E+00,+5.1356783583760E+00,+5.0577889119736E+00,+4.4899497220763E+00
+5.7732000E-06,+4.6155778614334E+00,+5.1356783583760E+00,+4.9798994655711E+00,+4.4547738430551E+00
+5.7736000E-06,+4.5376884150309E+00,+5.1356783583760E+00,+4.9371858981899E+00,+4.4522612802684E+00
+5.7740000E-06,+4.4949748476497E+00,+5.1356783583760E+00,+4.8592964517874E+00,+4.4145728384605E+00
+5.7744000E-06,+4.4170854012472E+00,+5.0603014747602E+00,+4.8165828844062E+00,+4.3743718338660E+00
+5.7748000E-06,+4.3366833920580E+00,+5.0552763491869E+00,+4.7763818798116E+00,+4.3341708292714E+00
+5.7752000E-06,+4.2939698246768E+00,+5.0175879073790E+00,+4.7361808752170E+00,+4.3316582664847E+00
+5.7756000E-06,+4.2914572618902E+00,+5.0150753445923E+00,+4.7336683124304E+00,+4.2939698246768E+00
+5.7760000E-06,+4.2914572618902E+00,+4.9773869027844E+00,+4.6582914288145E+00,+4.2537688200823E+00
