x-axis,1,2,3,4,MATH1
second,Volt,Volt,Volt,Volt,Volt
+127.943600E-06,+4.479899470932E+00,+4.773869317025E+00,+4.464824094200E+00,+1.251381941140E+00,+3.227416992192E+00
+127.945200E-06,+4.464824094200E+00,+4.801507507688E+00,+4.479899470932E+00,+1.251381941140E+00,+3.212036132808E+00
+127.946800E-06,+4.479899470932E+00,+4.814070321620E+00,+4.492462284863E+00,+1.251381941140E+00,+3.227416992192E+00
+127.948400E-06,+4.464824094200E+00,+4.814070321620E+00,+4.492462284863E+00,+1.251381941140E+00,+3.212036132808E+00
+127.950000E-06,+4.452261280268E+00,+4.814070321620E+00,+4.464824094200E+00,+1.251381941140E+00,+3.199218750000E+00
+127.951600E-06,+4.452261280268E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.953200E-06,+4.479899470932E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.227416992192E+00
+127.954800E-06,+4.492462284863E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.240234375000E+00
+127.956400E-06,+4.464824094199E+00,+4.786432130956E+00,+4.452261280268E+00,+1.251381941140E+00,+3.212036132807E+00
+127.958000E-06,+4.452261280268E+00,+4.773869317025E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.959600E-06,+4.452261280268E+00,+4.829145698353E+00,+4.479899470932E+00,+1.223743750476E+00,+3.227416992193E+00
+127.961200E-06,+4.452261280268E+00,+4.826633135550E+00,+4.492462284863E+00,+1.238819127209E+00,+3.212036132807E+00
+127.962800E-06,+4.452261280268E+00,+4.814070321620E+00,+4.464824094199E+00,+1.223743750476E+00,+3.227416992193E+00
+127.964400E-06,+4.479899470933E+00,+4.814070321620E+00,+4.479899470933E+00,+1.238819127209E+00,+3.240234375000E+00
+127.966000E-06,+4.464824094199E+00,+4.814070321620E+00,+4.464824094199E+00,+1.251381941140E+00,+3.212036132807E+00
+127.967600E-06,+4.452261280268E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.969200E-06,+4.479899470933E+00,+4.786432130955E+00,+4.452261280268E+00,+1.251381941140E+00,+3.227416992193E+00
+127.970800E-06,+4.492462284863E+00,+4.801507507690E+00,+4.452261280268E+00,+1.279020131804E+00,+3.212036132807E+00
+127.972400E-06,+4.464824094198E+00,+4.814070321620E+00,+4.424623089604E+00,+1.263944755070E+00,+3.199218750000E+00
+127.974000E-06,+4.452261280268E+00,+4.814070321620E+00,+4.439698466339E+00,+1.251381941140E+00,+3.199218750000E+00
+127.975600E-06,+4.479899470933E+00,+4.786432130955E+00,+4.452261280268E+00,+1.251381941140E+00,+3.227416992194E+00
+127.977200E-06,+4.492462284863E+00,+4.801507507690E+00,+4.452261280268E+00,+1.223743750475E+00,+3.268432617194E+00
+127.978800E-06,+4.492462284863E+00,+4.814070321620E+00,+4.479899470934E+00,+1.238819127210E+00,+3.253051757806E+00
+127.980400E-06,+4.492462284863E+00,+4.814070321620E+00,+4.464824094198E+00,+1.251381941140E+00,+3.240234375000E+00
+127.982000E-06,+4.492462284863E+00,+4.786432130954E+00,+4.452261280268E+00,+1.251381941140E+00,+3.240234375000E+00
+127.983600E-06,+4.464824094198E+00,+4.801507507690E+00,+4.452261280268E+00,+1.251381941140E+00,+3.212036132806E+00
+127.985200E-06,+4.479899470934E+00,+4.814070321620E+00,+4.452261280268E+00,+1.223743750474E+00,+3.255615234389E+00
+127.986800E-06,+4.492462284863E+00,+4.814070321620E+00,+4.452261280268E+00,+1.211180936545E+00,+3.281250000000E+00
+127.988400E-06,+4.492462284863E+00,+4.814070321620E+00,+4.479899470934E+00,+1.238819127211E+00,+3.253051757806E+00
+127.990000E-06,+4.492462284863E+00,+4.814070321620E+00,+4.464824094197E+00,+1.251381941140E+00,+3.240234375000E+00
+127.991600E-06,+4.492462284863E+00,+4.814070321620E+00,+4.479899470934E+00,+1.251381941140E+00,+3.240234375000E+00
+127.993200E-06,+4.464824094197E+00,+4.814070321620E+00,+4.464824094197E+00,+1.251381941140E+00,+3.212036132805E+00
+127.994800E-06,+4.479899470934E+00,+4.814070321620E+00,+4.479899470934E+00,+1.251381941140E+00,+3.227416992195E+00
+127.996400E-06,+4.492462284863E+00,+4.814070321620E+00,+4.492462284863E+00,+1.251381941140E+00,+3.240234375000E+00
+127.998000E-06,+4.492462284863E+00,+4.814070321620E+00,+4.464824094197E+00,+1.251381941140E+00,+3.240234375000E+00
+127.999600E-06,+4.492462284863E+00,+4.814070321620E+00,+4.452261280268E+00,+1.223743750473E+00,+3.268432617195E+00
+128.001200E-06,+4.492462284863E+00,+4.814070321620E+00,+4.452261280268E+00,+1.238819127211E+00,+3.253051757805E+00
+128.002800E-06,+4.492462284863E+00,+4.814070321620E+00,+4.479899470935E+00,+1.251381941140E+00,+3.240234375000E+00
+128.004400E-06,+4.492462284863E+00,+4.814070321620E+00,+4.464824094197E+00,+1.251381941140E+00,+3.240234375000E+00
+128.006000E-06,+4.464824094196E+00,+4.814070321620E+00,+4.479899470935E+00,+1.251381941140E+00,+3.212036132805E+00
+128.007600E-06,+4.479899470935E+00,+4.786432130953E+00,+4.464824094196E+00,+1.251381941140E+00,+3.227416992196E+00
+128.009200E-06,+4.464824094196E+00,+4.801507507692E+00,+4.479899470935E+00,+1.251381941140E+00,+3.212036132804E+00
+128.010800E-06,+4.452261280268E+00,+4.814070321620E+00,+4.464824094196E+00,+1.251381941140E+00,+3.199218750000E+00
+128.012400E-06,+4.452261280268E+00,+4.814070321620E+00,+4.479899470935E+00,+1.251381941140E+00,+3.199218750000E+00
+128.014000E-06,+4.479899470935E+00,+4.786432130953E+00,+4.464824094196E+00,+1.251381941140E+00,+3.227416992196E+00
+128.015600E-06,+4.464824094196E+00,+4.801507507692E+00,+4.452261280268E+00,+1.223743750473E+00,+3.240234375000E+00
+128.017200E-06,+4.452261280268E+00,+4.814070321620E+00,+4.452261280268E+00,+1.238819127212E+00,+3.212036132804E+00
+128.018800E-06,+4.479899470936E+00,+4.786432130952E+00,+4.452261280268E+00,+1.223743750472E+00,+3.255615234392E+00
+128.020400E-06,+4.492462284863E+00,+4.773869317025E+00,+4.424623089601E+00,+1.211180936545E+00,+3.281250000000E+00
+128.022000E-06,+4.492462284863E+00,+4.801507507692E+00,+4.439698466341E+00,+1.238819127213E+00,+3.253051757804E+00
+128.023600E-06,+4.492462284863E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.240234375000E+00
+128.025200E-06,+4.464824094195E+00,+4.786432130952E+00,+4.479899470936E+00,+1.251381941140E+00,+3.212036132803E+00
+128.026800E-06,+4.479899470936E+00,+4.773869317025E+00,+4.464824094195E+00,+1.251381941140E+00,+3.227416992197E+00
+128.028400E-06,+4.492462284863E+00,+4.801507507693E+00,+4.479899470936E+00,+1.251381941140E+00,+3.240234375000E+00
+128.030000E-06,+4.464824094195E+00,+4.786432130952E+00,+4.492462284863E+00,+1.251381941140E+00,+3.212036132803E+00
+128.031600E-06,+4.452261280268E+00,+4.773869317025E+00,+4.492462284863E+00,+1.251381941140E+00,+3.199218750000E+00
+128.033200E-06,+4.479899470936E+00,+4.773869317025E+00,+4.464824094195E+00,+1.223743750472E+00,+3.255615234394E+00
+128.034800E-06,+4.464824094195E+00,+4.801507507693E+00,+4.452261280268E+00,+1.238819127213E+00,+3.224853515606E+00
+128.036400E-06,+4.452261280268E+00,+4.786432130951E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+128.038000E-06,+4.452261280268E+00,+4.801507507693E+00,+4.479899470937E+00,+1.251381941140E+00,+3.199218750000E+00
+128.039600E-06,+4.452261280268E+00,+4.814070321620E+00,+4.464824094195E+00,+1.251381941140E+00,+3.199218750000E+00
+128.041200E-06,+4.452261280268E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+128.042800E-06,+4.452261280268E+00,+4.814070321620E+00,+4.479899470937E+00,+1.251381941140E+00,+3.199218750000E+00
+128.044400E-06,+4.452261280268E+00,+4.814070321620E+00,+4.492462284863E+00,+1.251381941140E+00,+3.199218750000E+00
+128.046000E-06,+4.479899470937E+00,+4.786432130951E+00,+4.464824094194E+00,+1.251381941140E+00,+3.227416992198E+00
+128.047600E-06,+4.492462284863E+00,+4.801507507694E+00,+4.479899470937E+00,+1.251381941140E+00,+3.240234375000E+00
+128.049200E-06,+4.492462284863E+00,+4.814070321620E+00,+4.464824094194E+00,+1.251381941140E+00,+3.240234375000E+00
+128.050800E-06,+4.492462284863E+00,+4.786432130950E+00,+4.452261280268E+00,+1.251381941140E+00,+3.240234375000E+00
+128.052400E-06,+4.492462284863E+00,+4.773869317025E+00,+4.452261280268E+00,+1.223743750471E+00,+3.268432617198E+00
+128.054000E-06,+4.492462284863E+00,+4.829145698363E+00,+4.452261280268E+00,+1.238819127214E+00,+3.253051757802E+00
+128.055600E-06,+4.492462284863E+00,+4.826633135545E+00,+4.452261280268E+00,+1.251381941140E+00,+3.240234375000E+00
+128.057200E-06,+4.492462284863E+00,+4.786432130950E+00,+4.452261280268E+00,+1.251381941140E+00,+3.240234375000E+00
+128.058800E-06,+4.464824094194E+00,+4.746231126355E+00,+4.452261280268E+00,+1.251381941140E+00,+3.212036132802E+00
+128.060400E-06,+4.479899470938E+00,+4.788944693770E+00,+4.479899470938E+00,+1.251381941140E+00,+3.227416992199E+00
+128.062000E-06,+4.464824094193E+00,+4.814070321620E+00,+4.354271331515E+00,+1.251381941140E+00,+3.212036132801E+00
+128.063600E-06,+4.396984898929E+00,+4.814070321620E+00,+4.042713545863E+00,+1.251381941140E+00,+3.144165039041E+00
+128.065200E-06,+3.984924601702E+00,+4.814070321620E+00,+3.238693453793E+00,+1.196105559800E+00,+2.787475585805E+00
+128.066800E-06,+2.178391957230E+00,+4.869346702959E+00,+1.487437190839E+00,+1.143341741281E+00,+1.033447264978E+00
+128.068400E-06,+939.698503616E-03,+4.894472330809E+00,+364.321625368E-03,+1.158417118026E+00,-220.336914276E-03
+128.070000E-06,+77.889467562E-03,+4.618090424108E+00,-678.391931453E-03,+1.060427169270E+00,-984.008789278E-03
+128.071600E-06,-321.608015382E-03,+4.381909522182E+00,-1.165829111868E+00,+927.261341562E-03,-1.249511718761E+00
+128.073200E-06,-123.115555047E-03,+4.276381885144E+00,-801.507507511E-03,+834.296518448E-03,-958.251952999E-03
