#timebase=80000000(ps)
,#voltbase=500000(uV)
#size=4064
2.30400E-04,3360.000
2.30800E-04,3360.000
2.31200E-04,3340.000
2.31600E-04,3380.000
2.32000E-04,3340.000
2.32400E-04,3360.000
2.32800E-04,3340.000
2.33200E-04,3360.000
2.33600E-04,3380.000
2.34000E-04,3340.000
2.34400E-04,3360.000
2.34800E-04,3360.000
2.35200E-04,3380.000
2.35600E-04,3340.000
2.36000E-04,3380.000
2.36400E-04,3380.000
2.36800E-04,3340.000
2.37200E-04,3360.000
2.37600E-04,3360.000
2.38000E-04,3360.000
2.38400E-04,3380.000
2.38800E-04,3360.000
2.39200E-04,3360.000
2.39600E-04,3380.000
2.40000E-04,3360.000
2.40400E-04,3360.000
2.40800E-04,3340.000
2.41200E-04,3360.000
2.41600E-04,3360.000
2.42000E-04,3380.000
2.42400E-04,3380.000
2.42800E-04,3340.000
2.43200E-04,3380.000
2.43600E-04,3360.000
2.44000E-04,3360.000
2.44400E-04,3380.000
2.44800E-04,3360.000
2.45200E-04,3380.000
2.45600E-04,3360.000
2.46000E-04,3380.000
2.46400E-04,3360.000
2.46800E-04,3360.000
2.47200E-04,3360.000
2.47600E-04,3380.000
2.48000E-04,3340.000
2.48400E-04,3380.000
2.48800E-04,3340.000
2.49200E-04,3380.000
2.49600E-04,3360.000
2.50000E-04,3360.000
2.50400E-04,3380.000
2.50800E-04,3340.000
2.51200E-04,3380.000
2.51600E-04,3380.000
2.52000E-04,3360.000
2.52400E-04,3360.000
2.52800E-04,3360.000
2.53200E-04,3360.000
2.53600E-04,3360.000
2.54000E-04,3360.000
2.54400E-04,3340.000
2.54800E-04,3360.000
2.55200E-04,3400.000
2.55600E-04,3360.000
2.56000E-04,3380.000
2.56400E-04,3380.000
2.56800E-04,3360.000
2.57200E-04,3360.000
2.57600E-04,3360.000
2.58000E-04,3360.000
2.58400E-04,3400.000
2.58800E-04,3380.000
2.59200E-04,3360.000
2.59600E-04,3360.000
2.60000E-04,3360.000
2.60400E-04,3380.000
2.60800E-04,3380.000
2.61200E-04,3360.000
2.61600E-04,3360.000
2.62000E-04,3400.000
2.62400E-04,3380.000
2.62800E-04,3360.000
2.63200E-04,3340.000
2.63600E-04,3380.000
2.64000E-04,3380.000
2.64400E-04,3360.000
2.64800E-04,3380.000
2.65200E-04,3360.000
2.65600E-04,3380.000
2.66000E-04,3380.000
2.66400E-04,3340.000
2.66800E-04,3340.000
2.67200E-04,3360.000
2.67600E-04,3380.000
2.68000E-04,3380.000
2.68400E-04,3340.000
2.68800E-04,3360.000
2.69200E-04,3380.000
2.69600E-04,3380.000
2.70000E-04,3360.000
2.70400E-04,3360.000
2.70800E-04,3380.000
2.71200E-04,3360.000
2.71600E-04,3380.000
2.72000E-04,3380.000
2.72400E-04,3360.000
2.72800E-04,3380.000
2.73200E-04,3380.000
2.73600E-04,3360.000
2.74000E-04,3360.000
2.74400E-04,3340.000
2.74800E-04,3360.000
2.75200E-04,3380.000
2.75600E-04,3340.000
2.76000E-04,3360.000
2.76400E-04,3380.000
2.76800E-04,3400.000
2.77200E-04,3380.000
2.77600E-04,3380.000
2.78000E-04,3340.000
2.78400E-04,3380.000
2.78800E-04,3380.000
2.79200E-04,3360.000
2.79600E-04,3380.000
2.80000E-04,3360.000
2.80400E-04,3340.000
2.80800E-04,3360.000
2.81200E-04,3360.000
2.81600E-04,3360.000
2.82000E-04,3360.000
2.82400E-04,3360.000
2.82800E-04,3340.000
2.83200E-04,3360.000
2.83600E-04,3380.000
2.84000E-04,3360.000
2.84400E-04,3380.000
2.84800E-04,3380.000
2.85200E-04,3360.000
2.85600E-04,3360.000
2.86000E-04,3400.000
2.86400E-04,3360.000
2.86800E-04,3360.000
2.87200E-04,3340.000
2.87600E-04,3340.000
2.88000E-04,3360.000
2.88400E-04,3380.000
2.88800E-04,3380.000
2.89200E-04,3340.000
2.89600E-04,3380.000
2.90000E-04,3340.000
2.90400E-04,3380.000
2.90800E-04,3360.000
2.91200E-04,3380.000
2.91600E-04,3360.000
2.92000E-04,3380.000
2.92400E-04,3400.000
2.92800E-04,3360.000
2.93200E-04,3400.000
2.93600E-04,3360.000
2.94000E-04,3380.000
2.94400E-04,3380.000
2.94800E-04,3360.000
2.95200E-04,3380.000
2.95600E-04,3360.000
2.96000E-04,3340.000
2.96400E-04,3360.000
2.96800E-04,3340.000
2.97200E-04,3380.000
2.97600E-04,3360.000
2.98000E-04,3400.000
2.98400E-04,3360.000
2.98800E-04,3360.000
2.99200E-04,3360.000
2.99600E-04,3360.000
3.00000E-04,3360.000
